docketId,caseId,dateDecision,decisionType,term,naturalCourt,chief,docket,issue,issueArea,decisionDirection,declarationUncon,caseDisposition,partyWinning,Reversal,majVotes,minVotes,voteAFortas,directionAFortas,majorityAFortas,voteAJGoldberg,directionAJGoldberg,majorityAJGoldberg,voteAMKennedy,directionAMKennedy,majorityAMKennedy,voteAScalia,directionAScalia,majorityAScalia,voteBRWhite,directionBRWhite,majorityBRWhite,voteCEWhittaker,directionCEWhittaker,majorityCEWhittaker,voteCThomas,directionCThomas,majorityCThomas,voteDHSouter,directionDHSouter,majorityDHSouter,voteEKagan,directionEKagan,majorityEKagan,voteEWarren,directionEWarren,majorityEWarren,voteFFrankfurter,directionFFrankfurter,majorityFFrankfurter,voteFMVinson,directionFMVinson,majorityFMVinson,voteFMurphy,directionFMurphy,majorityFMurphy,voteHABlackmun,directionHABlackmun,majorityHABlackmun,voteHHBurton,directionHHBurton,majorityHHBurton,voteHLBlack,directionHLBlack,majorityHLBlack,voteJGRoberts,directionJGRoberts,majorityJGRoberts,voteJHarlan2,directionJHarlan2,majorityJHarlan2,voteJPStevens,directionJPStevens,majorityJPStevens,voteLFPowell,directionLFPowell,majorityLFPowell,voteNMGorsuch,directionNMGorsuch,majorityNMGorsuch,votePStewart,directionPStewart,majorityPStewart,voteRBGinsburg,directionRBGinsburg,majorityRBGinsburg,voteRHJackson,directionRHJackson,majorityRHJackson,voteSAAlito,directionSAAlito,majoritySAAlito,voteSDOConnor,directionSDOConnor,majoritySDOConnor,voteSFReed,directionSFReed,majoritySFReed,voteSGBreyer,directionSGBreyer,majoritySGBreyer,voteSMinton,directionSMinton,majoritySMinton,voteSSotomayor,directionSSotomayor,majoritySSotomayor,voteTCClark,directionTCClark,majorityTCClark,voteTMarshall,directionTMarshall,majorityTMarshall,voteWBRutledge,directionWBRutledge,majorityWBRutledge,voteWEBurger,directionWEBurger,majorityWEBurger,voteWHRehnquist,directionWHRehnquist,majorityWHRehnquist,voteWJBrennan,directionWJBrennan,majorityWJBrennan,voteWODouglas,directionWODouglas,majorityWODouglas
1946-011-01,1946-011,1946-Dec-09,1,1946,1301,Vinson,36,10120,1,1,1,2,0,0,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,0,0,,,,1,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,,2,0,0
1946-012-01,1946-012,1946-Dec-09,1,1946,1301,Vinson,37,20130,2,2,1,3,1,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,2,1,0,1,0,1,,,,2,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,4,0,1,,,,,,,1,0,1,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,1,0,1
1946-013-01,1946-013,1946-Dec-09,1,1946,1301,Vinson,67,10430,1,1,1,3,1,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,1,1
1946-014-01,1946-014,1946-Dec-09,1,1946,1301,Vinson,51,10400,1,2,1,3,1,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,1,0,1,,,,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,,,,1,0,1,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,1,0,1
1946-015-01,1946-015,1946-Dec-09,1,1946,1301,Vinson,65,80320,8,2,1,4,1,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,1,0,1,,,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,,,,1,0,1,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,1,0,1
1946-016-01,1946-016,1946-Dec-09,1,1946,1301,Vinson,40,40070,4,2,1,4,1,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,1,0,1,,,,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,,,,1,0,1,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,4,0,1
1946-017-01,1946-017,1946-Dec-16,1,1946,1301,Vinson,3,80100,8,1,3,3,1,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,0,0,,,,1,1,1,2,0,0,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,4,1,1,,,,,,,,,,2,0,0
1946-018-01,1946-018,1946-Dec-16,1,1946,1301,Vinson,54,80170,8,2,1,3,1,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,1,0,1,,,,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,,,,1,0,1,,,,,,,,,,,,,,,,1,0,1,,,,,,,,,,4,0,1
1946-019-01,1946-019,1946-Dec-16,1,1946,1301,Vinson,48,120010,12,2,1,3,1,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,2,1,0,,,,1,0,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,,,,,1,0,1,,,,,,,,,,,,,,,,2,1,0,,,,,,,,,,1,0,1
1946-020-01,1946-020,1946-Dec-23,1,1946,1301,Vinson,59,30130,3,1,1,3,1,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,1,1,1
