id,Rehnquist,Stevens,OConnor,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer
215,1,1,1,1,1,1,1,1,1
216,1,1,1,1,1,1,1,1,1
217,0,0,0,0,0,0,0,0,0
218,1,1,1,1,1,1,1,1,1
219,0,0,0,0,0,0,0,0,0
220,0,,0,0,1,0,0,1,0
221,0,,0,0,1,0,0,1,0
222,0,0,0,0,0,0,0,0,0
223,0,1,0,0,0,1,0,1,1
224,0,1,0,0,0,1,0,1,1
225,0,1,0,0,0,1,0,1,1
226,0,1,0,0,0,1,0,1,1
227,0,1,0,0,0,1,0,1,1
228,0,1,0,0,0,1,0,1,1
229,0,1,0,0,0,1,0,1,1
230,0,1,0,0,0,1,0,1,1
231,0,1,0,0,0,1,0,1,1
232,0,1,0,0,0,1,0,1,1
233,0,1,1,0,1,1,1,1,1
234,0,1,1,0,0,1,0,0,1
235,1,0,1,1,1,0,1,0,0
236,1,0,1,1,1,0,1,0,0
237,0,0,1,0,0,0,0,0,1
238,0,,0,0,0,,0,,
239,1,1,1,1,1,1,1,1,1
240,0,1,0,0,0,1,0,1,1
241,0,1,0,0,0,0,0,0,1
242,1,1,1,1,1,1,1,1,1
243,1,1,1,1,1,1,1,1,1
244,0,1,0,0,0,0,0,0,0
245,0,1,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0
247,0,1,0,0,0,0,0,1,0
248,0,1,0,0,0,0,0,0,0
249,0,1,1,0,1,1,0,1,1
250,0,1,0,0,0,0,0,0,0
251,0,1,0,0,1,1,0,1,1
252,0,1,0,0,1,1,0,1,1
253,1,1,1,0,1,1,,1,1
254,1,1,1,0,1,1,,1,1
255,1,0,1,1,1,1,1,0,1
256,1,0,1,1,1,1,1,0,1
257,0,0,0,0,0,0,0,0,0
258,0,0,0,0,0,0,0,0,0
259,1,1,1,0,1,1,0,1,1
260,1,1,1,0,1,1,0,1,1
261,0,0,0,0,1,0,0,1,0
262,0,0,0,0,1,0,0,1,0
263,0,1,1,0,1,1,0,1,1
264,0,1,1,0,1,1,0,1,1
265,0,1,0,0,1,1,0,1,1
266,0,1,0,0,1,1,0,1,1
267,0,0,0,0,1,0,0,1,0
268,0,0,0,0,1,0,0,1,0
269,0,1,1,1,1,1,1,0,1
270,0,1,0,0,0,0,0,1,0
271,0,1,0,0,0,0,0,1,0
272,0,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0
274,0,1,1,1,1,1,1,1,0
275,0,1,0,0,0,0,0,0,1
276,1,1,0,0,1,1,0,1,1
277,0,0,0,0,0,0,0,0,0
278,1,1,1,1,1,1,1,1,1
279,0,0,0,0,0,0,0,0,0
280,0,1,0,0,0,0,0,1,1
281,0,1,0,0,0,0,0,0,0
282,1,1,1,1,1,1,1,1,1
283,0,1,0,0,0,0,0,0,0
284,1,1,1,1,1,1,1,1,1
285,1,1,0,0,1,1,0,1,1
286,1,1,0,0,1,1,0,1,1
287,0,1,1,0,1,1,0,1,1
288,0,1,1,0,1,1,0,1,1
289,0,0,0,0,0,0,0,0,0
290,1,1,1,,1,1,1,1,1
291,0,1,0,0,,0,0,0,0
292,0,1,0,0,,0,0,0,0
293,0,1,0,0,1,1,0,1,1
294,1,1,1,1,1,1,1,1,1
295,1,1,1,1,1,1,1,1,1
296,1,1,1,1,1,1,1,1,1
297,0,0,0,0,0,0,0,0,0
298,0,1,0,0,0,0,0,0,0
299,0,1,0,0,0,0,0,0,0
300,1,1,1,1,1,1,1,1,1
301,1,1,1,1,1,1,1,1,1
302,1,0,1,1,1,1,1,1,1
303,1,0,1,1,1,1,1,1,1
304,1,1,1,1,1,1,1,1,1
305,1,1,1,1,1,1,1,1,1
306,1,1,1,1,1,1,1,1,1
307,1,1,1,1,1,1,1,1,1
